name,year,month,retail_and_recreation_percent_change_from_baseline
Indonesia,2020,11,-13.208571428571428
Indonesia,2020,12,-9.486635944700462
Indonesia,2021,1,-20.644239631336404
Indonesia,2021,2,-19.818367346938775
Indonesia,2021,3,-14.895652173913044
Iraq,2020,2,10.133333333333333
Iraq,2020,3,-33.12903225806452
Iraq,2020,4,-53.36666666666667
Iraq,2020,5,-30.193548387096776
Iraq,2020,6,-34.5
Iraq,2020,7,-26.774193548387096
Iraq,2020,8,-18.967741935483872
Iraq,2020,9,-7.933333333333334
Iraq,2020,10,-1.4516129032258065
Iraq,2020,11,3.3
Iraq,2020,12,7.354838709677419
Iraq,2021,1,8.193548387096774
Iraq,2021,2,1.6071428571428572
Iraq,2021,3,4.869565217391305
Ireland,2020,2,0.31851851851851853
Ireland,2020,3,-30.27120669056153
Ireland,2020,4,-76.28783783783784
Ireland,2020,5,-63.797966963151204
Ireland,2020,6,-41.735031847133754
Ireland,2020,7,-15.675276752767529
Ireland,2020,8,-11.549295774647888
Ireland,2020,9,-13.09201388888889
Ireland,2020,10,-31.492682926829268
Ireland,2020,11,-41.635324015247775
Ireland,2020,12,-14.004950495049505
Ireland,2021,1,-57.1044226044226
Ireland,2021,2,-49.04891304347826
Ireland,2021,3,-41.284297520661156
Israel,2020,2,3.39
Israel,2020,3,-35.43225806451613
Israel,2020,4,-75.605
Israel,2020,5,-36.91451612903226
Israel,2020,6,-13.858333333333333
Israel,2020,7,-19.020967741935483
Israel,2020,8,-6.866209262435677
Israel,2020,9,-35.55154639175258
Israel,2020,10,-49.979032258064514
Israel,2020,11,-33.681666666666665
Israel,2020,12,-29.35483870967742
Israel,2021,1,-54.81612903225806
Israel,2021,2,-33.901785714285715
Israel,2021,3,-12.804347826086957
Italy,2020,2,-2.3595800524934383
Italy,2020,3,-60.73431546863094
Italy,2020,4,-83.02729658792651
Italy,2020,5,-51.707137414274825
Italy,2020,6,-16.688713910761155
Italy,2020,7,-1.0523241046482092
Italy,2020,8,10.004689942678478
Italy,2020,9,-1.994675186368477
Italy,2020,10,-14.989331978663957
Italy,2020,11,-39.21916010498688
Italy,2020,12,-33.54787909575819
Italy,2021,1,-45.3492506985014
Italy,2021,2,-31.751124859392576
Italy,2021,3,-40.89969188634029
Jamaica,2020,2,-2.5474452554744524
Jamaica,2020,3,-22.917857142857144
Jamaica,2020,4,-52.1067615658363
Jamaica,2020,5,-42.70070422535211
Jamaica,2020,6,-29.334615384615386
Jamaica,2020,7,-21.567164179104477
Jamaica,2020,8,-21.03448275862069
Jamaica,2020,9,-28.58252427184466
Jamaica,2020,10,-35.72791519434629
Jamaica,2020,11,-32.79847908745247
Jamaica,2020,12,-22.967153284671532
Jamaica,2021,1,-30.421818181818182
Jamaica,2021,2,-34.020325203252035
Jamaica,2021,3,-31.849246231155778
Japan,2020,2,0.1625
Japan,2020,3,-3.672715053763441
Japan,2020,4,-23.040277777777778
Japan,2020,5,-22.690188172043012
Japan,2020,6,-9.025
Japan,2020,7,-6.714381720430108
Japan,2020,8,-5.09005376344086
Japan,2020,9,-5.454861111111111
Japan,2020,10,-4.715725806451613
Japan,2020,11,-3.2597222222222224
Japan,2020,12,-3.1780913978494625
Japan,2021,1,-18.801747311827956
Japan,2021,2,-13.944940476190476
Japan,2021,3,-8.152173913043478
Jordan,2020,2,1.1635220125786163
Jordan,2020,3,-31.689655172413794
Jordan,2020,4,-59.16761363636363
Jordan,2020,5,-40.239554317548745
Jordan,2020,6,-10.854037267080745
Jordan,2020,7,-2.052469135802469
Jordan,2020,8,-5.956709956709957
Jordan,2020,9,-3.457983193277311
Jordan,2020,10,-18.364779874213838
Jordan,2020,11,-25.200607902735563
Jordan,2020,12,-19.559766763848398
Jordan,2021,1,-18.965217391304346
Jordan,2021,2,-14.530546623794212
Jordan,2021,3,-21.673228346456693
Kazakhstan,2020,2,2.2666666666666666
Kazakhstan,2020,3,-10.96774193548387
Kazakhstan,2020,4,-59.7
Kazakhstan,2020,5,-30.0
Kazakhstan,2020,6,-9.866666666666667
Kazakhstan,2020,7,-27.516129032258064
Kazakhstan,2020,8,-16.70967741935484
Kazakhstan,2020,9,-13.3
Kazakhstan,2020,10,-20.838709677419356
